127.0.0.1 - - [31/Mar/2023:07:51:41 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:51:44 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:51:45 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:51:45 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:51:45 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:51:45 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:51:54 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:51:54 +0200] "GET /biblioteka/H_rejestracja.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:51:54 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:51:54 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:52:33 +0200] "POST /biblioteka/register HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:52:33 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:52:44 +0200] "POST /biblioteka/login HTTP/1.1" 200 8742
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:52:44 +0200] "GET /biblioteka/A_styl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:52:44 +0200] "GET /biblioteka/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:52:45 +0200] "GET /biblioteka/3.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:53:30 +0200] "GET /biblioteka/G_login.html HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:00 +0200] "POST /biblioteka/login HTTP/1.1" 200 8749
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:06 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:06 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:07 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:17 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:17 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:17 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:29 +0200] "POST /biblioteka/login HTTP/1.1" 200 8749
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:32 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:32 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:32 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:34 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:34 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:34 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:35 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [31/Mar/2023:07:55:35 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
