127.0.0.1 - - [20/Apr/2023:15:38:05 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:09 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:09 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:09 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:09 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:09 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:11 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:11 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:12 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:12 +0200] "GET /biblioteka/H_rejestracja.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:24 +0200] "POST /biblioteka/register HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:24 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:39 +0200] "POST /biblioteka/login HTTP/1.1" 200 12689
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:39 +0200] "GET /biblioteka/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:39 +0200] "GET /biblioteka/A_styl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:44 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 13966
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:44 +0200] "GET /biblioteka/C_kategorie.css HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:47 +0200] "GET /biblioteka/B_O%20bibiotece.jsp HTTP/1.1" 200 7043
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:47 +0200] "GET /biblioteka/B_styl_info.css HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:38:52 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 12689
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:38 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 12689
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:42 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 13966
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:47 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:47 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:47 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
