127.0.0.1 - - [17/Jun/2023:13:37:10 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:37:11 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:37:11 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:37:11 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:37:12 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:48:26 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:48:26 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:48:26 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:06 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:06 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:07 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:07 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 200 3354
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:07 +0200] "GET /biblioteka/t%C5%82o_log_rej.jpg HTTP/1.1" 200 3239951
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:19 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:21 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:21 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:23 +0200] "GET /biblioteka/H_rejestracja.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:26 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:26 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:26 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:31 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:31 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:49:31 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:50:29 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:50:29 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:50:29 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:50:32 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:50:32 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:50:32 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:09 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:09 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:09 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:09 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 200 3354
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:10 +0200] "GET /biblioteka/t%C5%82o_log_rej.jpg HTTP/1.1" 200 3239951
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:15 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:16 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:16 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:16 +0200] "GET /biblioteka/H_rejestracja.css HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:22 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:22 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:57 +0200] "POST /biblioteka/login HTTP/1.1" 200 12482
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:57 +0200] "GET /biblioteka/A_styl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:51:57 +0200] "GET /biblioteka/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:52:12 +0200] "GET /biblioteka/B_O%20bibiotece.jsp HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:52:12 +0200] "GET /biblioteka/B_styl_info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:52:13 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 22331
